"main", "282", "SYSTEM", "Exception Throw", "exception=java.lang.ClassNotFoundException (id=163), thrower=junit.runner.BaseTestRunner#inVAJava:2, framePopped=false"
"main", "283", "SYSTEM", "Exception Catch", "exception=java.lang.ClassNotFoundException (id=163), catcher=junit.runner.BaseTestRunner#inVAJava:2, variable=e"
"main", "284", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#inVAJava:2, e=java.lang.ClassNotFoundException (id=163)"
"main", "285", "SYSTEM", "Line Step", "<source unavailable>"
"main", "286", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#inVAJava:2, result=false"
"main", "287", "SYSTEM", "Method Exit", "returner=junit.runner.BaseTestRunner#inVAJava:2, value=false"
"main", "288", "SYSTEM", "Method Returned", ""
"main", "289", "SYSTEM", "Line Step", "<source unavailable>"
"main", "290", "SYSTEM", "Line Step", "<source unavailable>"
"main", "291", "SYSTEM", "Type Load", "class=java.awt.Component"
"main", "292", "SYSTEM", "Type Load", "class=java.awt.Canvas"
"main", "293", "SYSTEM", "Type Load", "class=junit.awtui.ProgressBar"
"main", "294", "SYSTEM", "New Object", "object=junit.awtui.ProgressBar:1"
"main", "295", "SYSTEM", "Method Call", "caller=junit.awtui.TestRunner:1#createUI:1, target=junit.awtui.ProgressBar:1#junit.awtui.ProgressBar:1"
"main", "296", "SYSTEM", "Method Entered", ""
"main", "297", "SYSTEM", "Line Step", "<source unavailable>"
"main", "298", "SYSTEM", "Line Step", "<source unavailable>"
"main", "299", "SYSTEM", "Field Write", "context=junit.awtui.ProgressBar:1, fError=false"
"main", "300", "SYSTEM", "Line Step", "<source unavailable>"
"main", "301", "SYSTEM", "Field Write", "context=junit.awtui.ProgressBar:1, fTotal=0"
"main", "302", "SYSTEM", "Line Step", "<source unavailable>"
"main", "303", "SYSTEM", "Field Write", "context=junit.awtui.ProgressBar:1, fProgress=0"
"main", "304", "SYSTEM", "Line Step", "<source unavailable>"
"main", "305", "SYSTEM", "Field Write", "context=junit.awtui.ProgressBar:1, fProgressX=0"
"main", "306", "SYSTEM", "Line Step", "<source unavailable>"
"main", "307", "SYSTEM", "Method Call", "caller=junit.awtui.ProgressBar:1#junit.awtui.ProgressBar:1, target=Ljava/awt/Component;.resize(II)"
"main", "308", "SYSTEM", "Method Call", "caller=Ljava/awt/Component;.resize(II), target=Ljava/awt/Component;.resize(II)"
"main", "309", "SYSTEM", "Method Call", "caller=Ljava/awt/Component;.resize(II), target=junit.awtui.ProgressBar:1#setBounds:1"
"main", "310", "SYSTEM", "Method Entered", ""
"main", "311", "SYSTEM", "Variable Write", "context=junit.awtui.ProgressBar:1#setBounds:1, h=30"
"main", "312", "SYSTEM", "Variable Write", "context=junit.awtui.ProgressBar:1#setBounds:1, y=0"
"main", "313", "SYSTEM", "Variable Write", "context=junit.awtui.ProgressBar:1#setBounds:1, w=20"
"main", "314", "SYSTEM", "Variable Write", "context=junit.awtui.ProgressBar:1#setBounds:1, x=0"
"main", "315", "SYSTEM", "Line Step", "<source unavailable>"
"main", "316", "SYSTEM", "Line Step", "<source unavailable>"
"main", "317", "SYSTEM", "Field Read", "context=junit.awtui.ProgressBar:1, fProgress"
"main", "318", "SYSTEM", "Method Call", "caller=junit.awtui.ProgressBar:1#setBounds:1, target=junit.awtui.ProgressBar:1#scale:1"
"main", "319", "SYSTEM", "Method Entered", ""
"main", "320", "SYSTEM", "Variable Write", "context=junit.awtui.ProgressBar:1#scale:1, value=0"
"main", "321", "SYSTEM", "Line Step", "<source unavailable>"
"main", "322", "SYSTEM", "Field Read", "context=junit.awtui.ProgressBar:1, fTotal"
"main", "323", "SYSTEM", "Line Step", "<source unavailable>"
"main", "324", "SYSTEM", "Variable Write", "context=junit.awtui.ProgressBar:1#scale:1, result=0"
"main", "325", "SYSTEM", "Method Exit", "returner=junit.awtui.ProgressBar:1#scale:1, value=0"
"main", "326", "SYSTEM", "Method Returned", ""
"main", "327", "SYSTEM", "Line Step", "<source unavailable>"
"main", "328", "SYSTEM", "Field Write", "context=junit.awtui.ProgressBar:1, fProgressX=0"
"main", "329", "SYSTEM", "Line Step", "<source unavailable>"
"main", "330", "SYSTEM", "Method Exit", "returner=junit.awtui.ProgressBar:1#setBounds:1, value=<void>"
"main", "331", "SYSTEM", "Method Exit", "returner=Ljava/awt/Component;.resize(II), value=<void>"
