"main", "142", "SYSTEM", "Line Step", "<source unavailable>"
"main", "143", "SYSTEM", "Method Exit", "returner=junit.framework.TestSuite:2#addTest:1, value=<void>"
"main", "144", "SYSTEM", "Method Returned", ""
"main", "145", "SYSTEM", "Line Step", "<source unavailable>"
"main", "146", "SYSTEM", "Variable Delete", "method=junit.framework.TestSuite:2#addTestMethod:1 <name=args,type=java.lang.Object[] (id=53),value=<?>,index=4>"
"main", "147", "SYSTEM", "Line Step", "<source unavailable>"
"main", "148", "SYSTEM", "Method Exit", "returner=junit.framework.TestSuite:2#addTestMethod:1, value=<void>"
"main", "149", "SYSTEM", "Method Returned", ""
"main", "150", "SYSTEM", "Line Step", "<source unavailable>"
"main", "151", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#junit.framework.TestSuite:1, i=1"
"main", "152", "SYSTEM", "Line Step", "<source unavailable>"
"main", "153", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:2#junit.framework.TestSuite:1, target=junit.framework.TestSuite:2#addTestMethod:2"
"main", "154", "SYSTEM", "Method Entered", ""
"main", "155", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:2, m=java.lang.reflect.Method (id=76)"
"main", "156", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:2, names=java.util.Vector (id=58)"
"main", "157", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:2, constructor=java.lang.reflect.Constructor (id=55)"
"main", "158", "SYSTEM", "Line Step", "<source unavailable>"
"main", "159", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:2, name=""testRunningErrorsInTestSetup"""
"main", "160", "SYSTEM", "Line Step", "<source unavailable>"
"main", "161", "SYSTEM", "Line Step", "<source unavailable>"
"main", "162", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:2#addTestMethod:2, target=junit.framework.TestSuite:2#isPublicTestMethod:2"
"main", "163", "SYSTEM", "Method Entered", ""
"main", "164", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isPublicTestMethod:2, m=java.lang.reflect.Method (id=76)"
"main", "165", "SYSTEM", "Line Step", "<source unavailable>"
"main", "166", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:2#isPublicTestMethod:2, target=junit.framework.TestSuite:2#isTestMethod:2"
"main", "167", "SYSTEM", "Method Entered", ""
"main", "168", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:2, m=java.lang.reflect.Method (id=76)"
"main", "169", "SYSTEM", "Line Step", "<source unavailable>"
"main", "170", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:2, name=""testRunningErrorsInTestSetup"""
"main", "171", "SYSTEM", "Line Step", "<source unavailable>"
"main", "172", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:2, parameters=java.lang.Class[0] (id=78)"
"main", "173", "SYSTEM", "Line Step", "<source unavailable>"
"main", "174", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:2, returnType=java.lang.Class (id=65)"
"main", "175", "SYSTEM", "Line Step", "<source unavailable>"
"main", "176", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:2, result=true"
"main", "177", "SYSTEM", "Method Exit", "returner=junit.framework.TestSuite:2#isTestMethod:2, value=true"
"main", "178", "SYSTEM", "Method Returned", ""
"main", "179", "SYSTEM", "Line Step", "<source unavailable>"
"main", "180", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isPublicTestMethod:2, result=true"
"main", "181", "SYSTEM", "Method Exit", "returner=junit.framework.TestSuite:2#isPublicTestMethod:2, value=true"
"main", "182", "SYSTEM", "Method Returned", ""
"main", "183", "SYSTEM", "Line Step", "<source unavailable>"
"main", "184", "SYSTEM", "Line Step", "<source unavailable>"
"main", "185", "SYSTEM", "Line Step", "<source unavailable>"
"main", "186", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:2, args=java.lang.Object[1] (id=79)"
"main", "187", "SYSTEM", "Line Step", "<source unavailable>"
"main", "188", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:2#addTestMethod:2, target=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;)"
"main", "189", "SYSTEM", "Method Call", "caller=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;), target=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;)"
"main", "190", "SYSTEM", "Method Call", "caller=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;), target=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance([Ljava/lang/Object;)"
"main", "191", "SYSTEM", "Method Call", "caller=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance([Ljava/lang/Object;), target=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance0(Ljava/lang/reflect/Constructor;[Ljava/lang/Object;)"
"main", "192", "SYSTEM", "New Object", "object=junit.tests.ExtensionTest:2"
"main", "193", "SYSTEM", "Method Call", "caller=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance0(Ljava/lang/reflect/Constructor;[Ljava/lang/Object;), target=junit.tests.ExtensionTest:2#junit.tests.ExtensionTest:2"
"main", "194", "SYSTEM", "Method Entered", ""
"main", "195", "SYSTEM", "Variable Write", "context=junit.tests.ExtensionTest:2#junit.tests.ExtensionTest:2, name=""testRunningErrorsInTestSetup"""
"main", "196", "SYSTEM", "Line Step", "<source unavailable>"
"main", "197", "SYSTEM", "Method Call", "caller=junit.tests.ExtensionTest:2#junit.tests.ExtensionTest:2, target=junit.framework.TestCase:2#junit.framework.TestCase:2"
"main", "198", "SYSTEM", "Method Entered", ""
"main", "199", "SYSTEM", "Variable Write", "context=junit.framework.TestCase:2#junit.framework.TestCase:2, name=""testRunningErrorsInTestSetup"""
"main", "200", "SYSTEM", "Line Step", "<source unavailable>"
"main", "201", "SYSTEM", "Method Call", "caller=junit.framework.TestCase:2#junit.framework.TestCase:2, target=junit.framework.Assert:2#junit.framework.Assert:2"
"main", "202", "SYSTEM", "Method Entered", ""
"main", "203", "SYSTEM", "Line Step", "<source unavailable>"
"main", "204", "SYSTEM", "Line Step", "<source unavailable>"
"main", "205", "SYSTEM", "Method Exit", "returner=junit.framework.Assert:2#junit.framework.Assert:2, value=<void>"
"main", "206", "SYSTEM", "Method Returned", ""
"main", "207", "SYSTEM", "Line Step", "<source unavailable>"
"main", "208", "SYSTEM", "Field Write", "context=junit.framework.TestCase:2, fName=""testRunningErrorsInTestSetup"""
"main", "209", "SYSTEM", "Line Step", "<source unavailable>"
"main", "210", "SYSTEM", "Method Exit", "returner=junit.framework.TestCase:2#junit.framework.TestCase:2, value=<void>"
"main", "211", "SYSTEM", "Method Returned", ""
"main", "212", "SYSTEM", "Line Step", "<source unavailable>"
"main", "213", "SYSTEM", "Method Exit", "returner=junit.tests.ExtensionTest:2#junit.tests.ExtensionTest:2, value=<void>"
"main", "214", "SYSTEM", "Method Exit", "returner=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance0(Ljava/lang/reflect/Constructor;[Ljava/lang/Object;), value=<void>"
